difficulty,seed,max_curvature,mean_curvature,median_curvature,p95_curvature
moderate,28,0.08780963255110341,0.028127315128453532,0.020140734388314124,0.07930893799843576
moderate,29,0.07297417084887614,0.0321545793383514,0.032291549453794144,0.06768908477952545
moderate,30,0.09574502566630913,0.032946444029227355,0.027995107078634836,0.08288770236555944
moderate,31,0.07445665015121357,0.033975619136857454,0.03033820866315806,0.07204191363456232
moderate,32,0.05005855658249588,0.020238811256430237,0.01791430584194714,0.04872801563199075
moderate,33,0.08604732170944514,0.03483649690748211,0.030654873184141958,0.0745937458180034
moderate,34,0.05530200697289811,0.019114614045555978,0.017659725993018353,0.04960455339226954
moderate,35,0.05459220146736442,0.02592220658828995,0.025393719095480327,0.050536519197806114
moderate,36,0.08635746592452997,0.034949180019606604,0.030925350252693218,0.07617394339786085
moderate,37,0.041690123174532495,0.01622436389922652,0.014346261938673294,0.037159561384665925
moderate,38,0.04416094443355715,0.021000634136927338,0.020238489233329333,0.04045891750134131
moderate,39,0.10387643301317681,0.03389114829489671,0.027324556469731344,0.08849844405340505
moderate,40,0.08981555936144253,0.031362890482546,0.030604747860914914,0.0715924101903447
moderate,41,0.08643501725671768,0.031000432095790717,0.0275733846342062,0.07837029908635107
moderate,42,0.10072064665146611,0.04055493333113836,0.03583336674022508,0.08591727192922524
moderate,43,0.055719478451095324,0.020026620146197997,0.02059623337230994,0.04540733511144773
moderate,44,0.0629751320925915,0.022590174184575474,0.019873529059980438,0.058941673072936386
moderate,45,0.14965173391339687,0.05428160014922412,0.040699590931310446,0.14131465512578137
moderate,46,0.05934605181433106,0.02595785095292896,0.022111720295347984,0.05659082605207234
moderate,47,0.07150902862599107,0.035035545989523416,0.03827536199517924,0.06650808840140546
moderate,48,0.0798750640866773,0.03697059680814292,0.03482927417609779,0.07286726278102892
moderate,49,0.04393526757815049,0.02265863891865686,0.023907081485483525,0.04142476181022174
moderate,50,0.1659163438962279,0.041841970466900545,0.024764426319062463,0.12172495181518878
moderate,51,0.039541301161022065,0.015967913787041915,0.015190210694620215,0.03736728944057953
moderate,52,0.09637494730471523,0.02817941616772369,0.021831582483440016,0.0688906029684431
moderate,53,0.11333393524306153,0.03777196884277775,0.028520498794448026,0.10469268461993622
moderate,54,0.02524431758057978,0.011499718994852774,0.009217593401417395,0.024108249344133574
moderate,55,0.09146420169680279,0.03203535644120839,0.02673922912168325,0.08245367923563636
moderate,56,0.05487919819550385,0.023882718693288695,0.0224405746267344,0.04992613503473782
moderate,57,0.05463950688153419,0.02350171653364678,0.02143413109662254,0.05098264271730666
moderate,58,0.09631923813127499,0.028314694379490475,0.021962288088156028,0.0815454768239926
moderate,59,0.07424009321715376,0.021825263800642033,0.0181965090204757,0.06650760410727562
moderate,60,0.057754909577373566,0.026480007801847866,0.028464015688556103,0.05271328458012077
moderate,61,0.05859671998941631,0.01785607181054598,0.016331747391944436,0.037059882868903514
moderate,62,0.13247015445459157,0.04652190894292678,0.039164077297296776,0.10754106220968788
moderate,63,0.07292135024921487,0.019623841400879763,0.013671018195842748,0.06284992450822581
moderate,64,0.042453093056392624,0.02269992855460493,0.021871656764134086,0.04163094346946041
moderate,65,0.06303583634120855,0.03130234640994975,0.031052272004564375,0.05879230476574924
moderate,66,0.08811845031200168,0.03796038121386815,0.034550953939667894,0.08111843121317926
moderate,67,0.06269869818853334,0.022733546449449842,0.02060609852586178,0.05847387879258161
moderate,68,0.041335749219019384,0.018078298838247683,0.016614006984729004,0.03828427771119418
moderate,69,0.084037522840323,0.03807597001291144,0.038562908578649864,0.07405426069208815
moderate,70,0.08189644415150056,0.020985116087274634,0.01375056674840105,0.0729905320081581
moderate,71,0.06153004556849493,0.01984316398795274,0.011373604107151769,0.05817019057006473
moderate,72,0.0735039959172497,0.02533554838298104,0.023739813564302534,0.06566091235071271
moderate,73,0.07181161024601812,0.025190833541119232,0.023053613580451066,0.0618296683812315
moderate,74,0.07177791347821995,0.03166378500358899,0.028170437431115275,0.06994388920416754
moderate,75,0.10463100963699214,0.03952887184269066,0.034073439861478524,0.09104295115868033
moderate,76,0.09023463477079915,0.029953735767353478,0.027511021515699133,0.07049876539928074
moderate,77,0.053399644004984086,0.02130876386975956,0.016156667922068404,0.0488504503669173
moderate,78,0.0700808502405134,0.034030693314953085,0.03233062887970821,0.06563953345280056
moderate,79,0.08239650310629353,0.02427562336263488,0.021004503785766886,0.06792563988288648
moderate,80,0.12311765932710837,0.029215840258091652,0.019299780886408616,0.10342471395402404
moderate,81,0.03968561372111835,0.018681302018356803,0.01554360740322571,0.03704811917909257
moderate,82,0.11525267031361668,0.04223865179365528,0.03832092482223989,0.09816869516958683
moderate,83,0.0774040336979551,0.03063552695552862,0.02965924467445046,0.06973966144278687
moderate,84,0.10863260963502068,0.03507869531004892,0.03189805563467425,0.09221030170124621
moderate,85,0.08788978235070076,0.0338930766840204,0.02852356298078834,0.07971312983936077
moderate,86,0.12473938426798079,0.031020300550595497,0.02497284483710225,0.10160979718470409
moderate,87,0.10027243725518889,0.03324765367241246,0.026496291914909105,0.08749552330728468
moderate,88,0.0713228766472096,0.02849882901778873,0.022139937498024696,0.06508220962540819
moderate,89,0.1555725490296175,0.04973353537448891,0.0287909903241476,0.14671110731806955
moderate,90,0.02644044790138979,0.010966613855591029,0.01058466717704442,0.024869590274305325
moderate,91,0.11439037207313268,0.04659950914217598,0.03892012203419722,0.10803622679735976
moderate,92,0.06928098307985849,0.0294264194015208,0.02573849859519404,0.06326574709781234
moderate,93,0.11724611194389307,0.051661270888606156,0.04698304339083617,0.10654568637040725
moderate,94,0.09692955123893607,0.024572213216453257,0.019849721869862016,0.08158367765506445
moderate,95,0.10275172474210817,0.023651482271987937,0.01650611706986238,0.0884531648818869
moderate,96,0.14037918526481555,0.05121636468094006,0.045720693452761266,0.11279765494426638
moderate,97,0.07452093694394063,0.0280894012995256,0.02566070657493324,0.06386004239495999
moderate,98,0.04157717759683351,0.022468023660918462,0.02353782934253772,0.04024128086036585
moderate,99,0.07838069348294413,0.020966390183253202,0.0171997821451966,0.06855653952451188
severe,0,0.176965086782296,0.0624889082212351,0.04469091110962156,0.15102574983634257
severe,1,0.15562155302014172,0.046241400975873814,0.03622361505046603,0.12617647251655942
severe,2,0.2599298923668537,0.06282222438845059,0.036281191996605164,0.18784570443425735
severe,3,0.1671545648311484,0.05051581033721858,0.039116793543030076,0.14435715378234928
severe,4,0.3265216374652003,0.07295228893177579,0.028257178780797226,0.2747104612747996
severe,5,0.36866400821504947,0.06569486352460562,0.027527880974421836,0.2568643561298739
severe,6,0.17066394909215551,0.044749685839442575,0.034277027277195324,0.12264929617621183
severe,7,0.22846338965110044,0.07128404138071555,0.05409781336107736,0.17817607883058822
severe,8,0.18876953993849085,0.054117922529041636,0.03936519359909934,0.16382571240798735
severe,9,0.2816320978407881,0.07082781068470735,0.04413707449065456,0.21271410275559546
severe,10,0.27064528542140065,0.06391688338248497,0.03626216483744222,0.21289740503473203
severe,11,0.2831000014566016,0.05954691264524073,0.04185018512190848,0.16992452781835907
severe,12,0.2009228593175665,0.05802418430165325,0.04918710744667258,0.1366808200104398
severe,13,0.4087041557095477,0.07197426766357333,0.04812507717492107,0.21809878276926747
severe,14,0.3506017298499289,0.0610463067767903,0.033855034642795476,0.17955922789266768
severe,15,0.32723742496667213,0.06639546796664392,0.04758902749209765,0.20501235129582615
severe,16,0.14719629879111507,0.046728293636592005,0.037997225067460755,0.11742155506743662
severe,17,0.5577438914791621,0.07505815195296985,0.023190310352171506,0.31720267123179813
severe,18,0.28705914541016,0.06425893889098412,0.04572980937259681,0.1941956129970532
severe,19,0.31513205089108715,0.05999317047238732,0.03402082730466615,0.23690639760246288
severe,20,0.22922257150194444,0.05806692879487493,0.03538102657058063,0.18347589812626214
severe,21,0.21294949867895138,0.06800386203289582,0.052616807582017505,0.16749169417751045
severe,22,0.20998083025084824,0.06021274972198142,0.035408559282316676,0.16946848168200862
severe,23,0.38697030942534677,0.07310573123497607,0.04939212735747217,0.2215339309435218
severe,24,0.23585410926800643,0.05860185507273588,0.03389491777789695,0.20152469421402053
severe,25,0.23658213387849014,0.05232548247948029,0.03788931581987939,0.13614002352395982
severe,26,0.10312649346176962,0.03791501897448761,0.029124931829886944,0.09259453994247105
severe,27,0.3910375236817866,0.08582564697193634,0.06924771043926531,0.19929177725677943
severe,28,0.34913065274920974,0.056463935512141274,0.035003165059517304,0.15332568597931628
severe,29,0.2745560262859946,0.0697287525283578,0.03850674916764821,0.23786478543957382
severe,30,0.38476456790592034,0.06414608262716598,0.038399432508081394,0.19023924537641257
severe,31,0.4246575595150249,0.06532344277014152,0.045382731672022114,0.17641447873519064
severe,32,0.3173442621478392,0.06655824932878505,0.03520854435819196,0.22005268232569175
severe,33,0.3984073757098774,0.062471061618010665,0.032266966405144426,0.2693658498309656
severe,34,0.3021141614353822,0.06606379222248109,0.03880382364757361,0.21374163447239017
severe,35,0.3476661206679461,0.0743931577571609,0.039322946665574024,0.2636499788425661
severe,36,0.25177724518717404,0.06779718187844877,0.051396929905272545,0.19379510826793486
severe,37,0.40995662886097173,0.04864029929258048,0.027567571145060255,0.1869470051081193
severe,38,0.36037296878238134,0.06652890671144539,0.04476578818201159,0.2206310895231307
severe,39,0.292165147811031,0.06117317725486267,0.026560255340802287,0.23188373808356802
severe,40,0.23992919017079342,0.06498233888979453,0.0529514948775731,0.1626866508644705
severe,41,0.3104562209673264,0.0624618526783961,0.021748101128426574,0.25050348010907514
severe,42,0.2509982024563282,0.07091710774836868,0.04734400518034765,0.18930673583961205
severe,43,0.23894093880921025,0.061291544176767146,0.04368227590231089,0.17829340283428338
severe,44,0.22914638232302365,0.048934246975700715,0.023017724202906223,0.14339008619575386
severe,45,0.40158118548904775,0.0907964027380773,0.03204273701844364,0.3522388911633146
severe,46,0.25323197891848226,0.06191336632940298,0.03420846644505016,0.18583661033572701
severe,47,0.2881844811606401,0.06973815701685476,0.030320794329314595,0.2423329742141443
severe,48,0.19891452289734707,0.0615537015674755,0.0565332122897788,0.16571490940202688
severe,49,0.16809742828028,0.03771582756572701,0.031173198807924917,0.11125752786250404
severe,50,0.33459116288204543,0.07088157006551063,0.028509109762950735,0.2482266572088115
severe,51,0.4389728389833661,0.06914365051700253,0.04705431142735535,0.21895934904135306
severe,52,0.238562958264847,0.07806160565921015,0.058953173910116397,0.21081821118252328
severe,53,0.288470909070235,0.061525337877540345,0.04886516743209608,0.15763924963149903
severe,54,0.21135356069002728,0.04308575628445054,0.028501975516709986,0.1255420480933497
severe,55,0.26517888186112315,0.06006199348880494,0.03422233762943552,0.2135672624867842
severe,56,0.3157588270183304,0.06212085447652328,0.04810728396587468,0.15540289321624617
severe,57,0.3794429498102092,0.04372148460079821,0.02373617083914393,0.130064842392864
