difficulty,seed,strategy,mean_combined_risk,peak_combined_risk,mean_resistance,peak_resistance,mean_push_force,peak_push_force,minimum_velocity,mean_velocity,mean_buckling_risk,peak_buckling_risk,mean_kickback,peak_kickback
easy,1005,Rate-Limited AI,0.2609938358098939,0.3344309830850448,0.20907525646186298,0.2353067525608103,0.13644574435004636,0.13940600343359588,3.317203923075596,3.3906722665543,0.2609938358098939,0.3344309830850448,0.2565988123545775,0.26972810775071154
easy,1006,Fixed Flexible,0.43545508066063393,0.44419556611775585,0.4164949447215689,0.44475755382815524,0.12693782531748404,0.12947055171453686,3.039220984780495,3.100518321097274,0.43545508066063393,0.44419556611775585,0.2983546540143403,0.31050866265719534
easy,1006,Balanced V2,0.27872102903609497,0.3528286932567439,0.34322220505536294,0.3918194023340435,0.12037155957616114,0.12472655043727786,3.1548184111754596,3.271255669254431,0.2756980417084522,0.3528286932567439,0.26610581932450145,0.2876943119596952
easy,1006,Rate-Limited AI,0.2656769663172937,0.3231876222706491,0.34125204587480895,0.39390788970953416,0.12019500566550954,0.12491370821474518,3.1500915576492354,3.276468040062539,0.24931905404854052,0.3231876222706491,0.26519986307819565,0.28860476929908485
easy,1007,Fixed Flexible,0.48565507288957377,0.4952415807463896,0.4768951496450349,0.511704064863074,0.1338032078975806,0.13695681329788809,2.5699143274376524,2.6314194777965754,0.48565507288957377,0.4952415807463896,0.3473972110223692,0.3615376502833688
easy,1007,Balanced V2,0.3229971846507547,0.40625924990640633,0.41124966610276376,0.47378127185420355,0.12785588233147333,0.13352109793363737,2.6360424096376205,2.7563299251619173,0.31854564132363,0.40625924990640633,0.32017258102066165,0.3461872025503175
easy,1007,Rate-Limited AI,0.3209869389797209,0.3776242148837303,0.4121080820378254,0.4771210391034644,0.1279336527851506,0.13382367294831582,2.630082323852969,2.7549055310384505,0.3055864697476697,0.3776242148837303,0.3205155223802504,0.34754760053338346
easy,1008,Fixed Flexible,0.5863569627317256,0.5904749286853055,0.4916989387256093,0.5066606130215656,0.17255759362710257,0.17428833864951865,2.05039454682727,2.0710837573837475,0.5863569627317256,0.5904749286853055,0.4366813709433009,0.44290039963476113
easy,1008,Balanced V2,0.41207887421843914,0.501227507666681,0.400046352972391,0.42622171526364766,0.1619553539682151,0.1649832823336771,2.1660367892293513,2.2069896884477824,0.41207887421843914,0.501227507666681,0.3980117281998021,0.40918921062254004
easy,1008,Rate-Limited AI,0.3993392130783971,0.4710329535492528,0.3983431096349384,0.4260184737838212,0.16175832522196998,0.1649597716508083,2.16634550088386,2.2097328870270023,0.3980761393477639,0.4710329535492528,0.3972795057095533,0.40910300130800514
easy,1009,Fixed Flexible,0.3930046128121797,0.4015808304649288,0.334735402852426,0.3596650857913232,0.11856124190094004,0.12077568392676465,3.3937533116657987,3.4580233492084607,0.3930046128121797,0.4015808304649288,0.2505338920415658,0.26186605327005535
easy,1009,Balanced V2,0.24575857467037815,0.29490779633674985,0.2680645158245154,0.3088838784213528,0.11263903203988918,0.11626491497724384,3.525421898561439,3.641663444374941,0.24575857467037815,0.29490779633674985,0.2194927010490419,0.23873569669997194
easy,1009,Rate-Limited AI,0.21948426824486764,0.2634649506700494,0.2668194724015528,0.3131495162103617,0.11252843791454299,0.11664382102310407,3.513969910279022,3.6460605993794974,0.20675761477368457,0.2634649506700494,0.21885253742844385,0.24070314064184653
moderate,11000,Fixed Flexible,0.48648730955963837,0.5826782738552547,0.46047768488013907,0.7656480142612225,0.16762205043768283,0.20264708154440486,2.571632398521353,3.1372429450354913,0.48648730955963837,0.5826782738552547,0.3580019780395499,0.49345748631400255
moderate,11000,Balanced V2,0.40270169343461837,0.5651364045201905,0.45765571519164505,0.8151364077643328,0.16729816712857415,0.20832696702142195,2.501518683905203,3.165928907468349,0.40270169343461837,0.5651364045201905,0.355283416279865,0.514073242976579
moderate,11000,Rate-Limited AI,0.37836933067509776,0.5658506303316299,0.45486737276599487,0.8257840864649547,0.16697814329010774,0.20954902317104834,2.486930229877544,3.173538581811855,0.37689039847827294,0.5658506303316299,0.3538931532576185,0.5184777733254183
